step,loss
2000,8.100991156816482
4000,7.434458324193955
6000,7.263510178724925
8000,7.15856164714694
10000,7.110222580742836
12000,7.051675187687079
14000,7.012873510752406
16000,7.0431276056021455
18000,7.048963269352913
20000,7.038571018898487
22000,7.016497819196094
24000,6.943382905294498
26000,6.869108430541479
28000,6.821699158472674
30000,6.807328747900327
32000,6.766121156714856
34000,6.712336813288577
36000,6.698181391047107
38000,6.67426422924117
40000,6.660445696610212
42000,6.639060706950369
44000,6.617912977744233
46000,6.590544571197551
48000,6.563749671702584
50000,6.533225168862343
52000,6.281637353834763
54000,5.61693896640471
56000,5.3886216131715985
58000,5.548744235371218
60000,5.613580249970959
62000,5.609998614497107
64000,5.565052743881296
66000,5.580957510172668
68000,5.673654804965966
70000,5.729097765036958
72000,5.768245855371739
74000,5.796721559525913
76000,5.804085190180779
78000,5.810719337909348
80000,5.839927123832994
82000,5.874190655125633
84000,5.867259013716942
86000,5.854887588591058
88000,5.867396637172919
90000,5.869777112401704
92000,5.88700235590342
94000,5.892663715188479
96000,5.8984139169180185
98000,5.895703528282962
100000,5.888721039418335
102000,5.87856841452435
104000,5.98758428314932
106000,5.381003375169203
108000,5.16659674204841
110000,5.3565397989625145
112000,5.433145554617402
114000,5.423250425562867
116000,5.38826381544088
118000,5.428558261064855
120000,5.522381528278048
122000,5.581030361654719
124000,5.6240655961769805
126000,5.656885335180969
128000,5.669910940811643
130000,5.683224406440313
132000,5.722892987343193
134000,5.757701723479457
136000,5.751806943850393
138000,5.746847318538262
140000,5.759247585800288
142000,5.762644069391349
144000,5.782751616447112
146000,5.791679416808294
148000,5.7988447358698325
150000,5.798990578531565
152000,5.792002385898401
154000,5.783855343634664
156000,5.771725227630216
158000,5.2693491211845025
160000,5.0687332304103085
